Trial,Reaction_Time,Response,Coherence,Direction,Radius,Theta,X,Y
35,2.86261,False,0.5,left,3.112319,90.84318,-0.04579984,3.111982
36,2.36702,False,0.5,left,0.8709831,25.58209,0.7855985,0.3760939
37,0.8622131,True,0.5,up,0.1506853,3.419065,0.1504171,0.008986652
38,2.189224,False,0.5,left,2.010669,26.13351,1.805119,0.885628
39,1.084061,True,0.5,down,2.838847,206.4596,-2.541475,-1.264894
40,3.421738,False,0.5,left,1.513798,97.66912,-0.2020195,1.500257
41,1.656876,True,0.5,up,2.507488,343.1385,2.399688,-0.7273182
42,1.233505,True,0.5,up,1.280555,293.3557,0.5076601,-1.175628
43,2.855453,True,0.5,down,3.077524,225.7784,-2.146372,-2.205503
44,1.982895,True,0.5,up,0.6934929,74.21479,0.1886522,0.66734
45,1.689865,False,0.5,right,2.316791,62.66413,1.063884,2.058074
46,1.532837,False,0.5,left,1.92722,276.6616,0.2235671,-1.914208
47,3.633179,True,0.5,up,0.1719546,182.3705,-0.1718075,-0.007112104
48,3.946777,True,0.5,down,1.149666,47.39309,0.7782831,0.8461716
49,4.461319,True,0.5,down,1.966832,117.6535,-0.9128527,1.742162
50,2.380402,True,0.5,up,0.610692,19.7526,0.5747593,0.2063891
51,0.6344757,False,0.5,right,1.454214,299.3528,0.7128356,-1.267519
52,3.526169,True,0.5,up,3.699606,297.2291,1.692751,-3.289632
53,1.824356,False,0.5,left,3.438654,334.4369,3.102046,-1.483797
54,2.311707,False,0.5,left,1.380779,209.8804,-1.197227,-0.6878923
55,2.289948,False,0.5,right,2.021532,75.94183,0.491044,1.960987
56,2.877136,True,0.5,up,2.32172,135.3763,-1.652452,1.630885
57,2.242828,False,0.5,right,2.124354,232.8219,-1.283736,-1.692602
58,3.744354,True,0.5,down,2.01054,346.6693,1.956367,-0.4635713
59,2.398529,False,0.5,right,2.83032,1.42921,2.829439,0.07059335
60,7.652374,False,0.5,left,2.684738,259.2676,-0.4999559,-2.637776
61,3.122467,True,0.5,down,2.708501,356.0722,2.702139,-0.1855325
62,0.9680176,False,0.5,left,2.659114,309.303,1.684341,-2.05764
63,0.9328003,True,0.5,up,2.396217,42.95998,1.753623,1.632991
64,1.301178,True,0.5,up,3.237174,79.72006,0.5776985,3.185209
65,4.243835,False,0.5,right,3.958662,322.7875,3.15267,-2.394091
66,5.344055,True,0.5,down,2.606319,358.8856,2.605826,-0.05069099
67,1.055573,False,0.5,left,2.451169,308.9328,1.540334,-1.906725
68,4.864502,False,0.5,right,0.0756321,156.77,-0.06950054,0.029831
69,2.522644,True,0.5,down,1.58294,169.5716,-1.556793,0.2865214
70,0.8233032,False,0.5,left,2.324031,26.15617,2.086041,1.024478
71,2.013519,False,0.5,right,0.1383605,188.6442,-0.1367888,-0.02079524
72,1.057495,False,0.5,right,2.49506,60.91065,1.213031,2.18034
73,2.689911,False,0.5,right,1.082082,161.7852,-1.02786,0.3382375
74,2.254608,False,0.5,left,2.748301,338.268,2.552968,-1.017601
75,1.345062,True,0.5,up,2.079188,201.0162,-1.940879,-0.7456622
76,0.9107971,True,0.5,up,3.089321,230.4853,-1.965663,-2.38329
77,2.431427,True,0.5,up,3.993431,329.5239,3.441703,-2.025383
78,2.42337,False,0.5,left,0.4989829,349.8597,0.4911886,-0.08785034
79,0.8007507,False,0.5,right,1.577715,150.6306,-1.374941,0.7737721
80,0.9560852,False,0.5,left,1.298484,335.2039,1.178771,-0.544572
81,0.6879272,False,0.5,left,1.820176,277.3971,0.2343391,-1.805028
82,0.7663574,True,0.5,up,3.625834,232.6294,-2.200764,-2.881547
83,3.111206,False,0.5,right,2.133793,123.5671,-1.179803,1.777959
84,4.659271,False,0.5,right,0.4068727,58.54511,0.2123172,0.3470833
85,0.745575,True,0.5,up,0.1329789,167.696,-0.1299245,0.02833767
86,1.110596,False,0.5,right,1.10183,168.2678,-1.078811,0.2240439
87,1.622894,False,0.5,right,1.46775,88.63057,0.03507745,1.467331
88,1.290497,True,0.5,up,2.93624,341.4843,2.784249,-0.9324483
89,1.020691,True,0.5,up,3.1399,306.9401,1.887015,-2.509611
90,2.298431,False,0.5,left,3.587005,120.1075,-1.799325,3.103068
91,1.023376,True,0.5,up,0.4861817,111.5097,-0.1782628,0.4523219
92,0.8995056,True,0.5,down,2.724393,129.5502,-1.734768,2.100689
93,4.386047,False,0.5,right,0.9846625,204.8431,-0.8935435,-0.4136912
94,0.9750366,False,0.5,left,3.612034,17.84467,3.438262,1.106863
95,0.8903809,False,0.5,right,3.344745,38.19929,2.628516,2.068386
96,0.9556885,False,0.5,left,0.6229782,85.52745,0.04858074,0.6210811
97,0.7221375,False,0.5,left,3.749065,129.9473,-2.407207,2.874168
98,0.777832,False,0.5,right,0.179647,163.7706,-0.1724881,0.05020858
99,0.5849304,False,0.5,left,3.21384,171.1277,-3.175385,0.4956793
100,0.6236572,True,0.5,down,0.4795609,140.8969,-0.3721448,0.3024679
101,0.6236267,True,0.5,up,1.676203,48.90701,1.10174,1.26326
102,0.499054,False,0.5,left,2.700759,64.66785,1.15556,2.441061
103,2.965454,True,0.5,down,3.429725,205.9952,-3.082741,-1.503235
104,1.179779,True,0.5,up,3.220285,133.9762,-2.236037,2.317408
105,2.276917,False,0.5,right,3.108387,336.8782,2.858697,-1.220623
106,4.620361,False,0.5,left,1.682049,110.6074,-0.5920187,1.574421
107,1.779236,True,0.5,down,0.667778,175.6743,-0.6658758,0.0503674
108,0.9019775,False,0.5,left,1.229172,57.45764,0.6611997,1.036184
109,0.7119446,True,0.5,up,0.1677203,180.1944,-0.1677193,-0.0005691177
110,0.7135925,True,0.5,up,3.851341,109.1755,-1.265025,3.637656
111,2.910156,False,0.5,right,0.633182,275.9025,0.06511372,-0.6298251
112,1.022491,True,0.5,down,1.900903,33.7845,1.579907,1.057037
113,0.9790039,True,0.5,up,2.560112,95.17609,-0.2309653,2.549672
114,1.959869,False,0.5,right,2.206955,141.1417,-1.718555,1.384636
115,1.202576,True,0.5,up,2.970164,183.844,-2.963482,-0.199122
116,3.488708,False,0.5,right,1.844675,324.1744,1.495667,-1.079724
117,1.277649,True,0.5,up,2.139033,120.2139,-1.076426,1.848451
118,1.712646,True,0.5,up,3.800956,18.41776,3.606264,1.200886
119,0.8863831,False,0.5,right,2.391848,160.2685,-2.251411,0.807519
120,1.366852,True,0.5,down,1.292211,188.0599,-1.279446,-0.1811787
121,1.278503,False,0.5,left,0.8114285,150.7225,-0.7077777,0.3968212
122,1.478302,True,0.5,down,3.731992,133.8468,-2.58527,2.691495
123,2.390015,False,0.5,right,3.204088,119.1731,-1.561834,2.797652
124,2.134949,False,0.5,right,2.435213,72.43719,0.7348279,2.3217
125,1.268646,True,0.5,up,1.063964,153.779,-0.9544781,0.470096
126,1.999268,True,0.5,down,0.825192,274.2744,0.06150478,-0.8228967
127,2.287872,False,0.5,left,2.298739,90.17756,-0.007123799,2.298728
128,1.413055,False,0.5,left,2.924101,345.2947,2.82832,-0.7422771
129,1.779358,True,0.5,up,1.586799,48.33568,1.054849,1.185422
130,1.720947,True,0.5,up,3.345759,250.1735,-1.134793,-3.147435
131,6.899658,True,0.5,up,0.3532538,98.16926,-0.0501966,0.3496692
132,1.075562,False,0.5,right,3.286111,329.6134,2.834705,-1.66222
133,2.04245,False,0.5,left,0.3385329,21.28048,0.31545,0.122865
134,2.279083,False,0.5,right,1.950026,29.65669,1.694584,0.9648768
135,2.490753,True,0.5,down,0.9969649,233.5337,-0.5925463,-0.8017655
136,0.9691162,False,0.5,right,1.640899,357.4055,1.639217,-0.0742781
137,0.691864,True,0.5,up,2.915285,290.6471,1.027961,-2.728036
138,3.579254,False,0.5,left,1.891281,286.41,0.5343036,-1.81424
139,1.014282,True,0.5,up,2.190349,210.2077,-1.892916,-1.102042
140,2.432678,True,0.5,down,1.396146,291.9315,0.5214586,-1.295108
141,2.125,False,0.5,right,1.251425,26.74609,1.117534,0.5631879
142,1.213287,False,0.5,left,0.3340664,50.48763,0.212548,0.257728
143,0.8099976,True,0.5,up,1.729005,330.9949,1.512148,-0.8383722
144,0.8309631,True,0.5,up,3.918015,148.7232,-3.348607,2.034129
145,1.333069,True,0.5,up,0.2102251,288.848,0.0679151,-0.1989526
146,0.6107788,False,0.5,right,1.615725,121.1779,-0.8364556,1.382356
147,0.83255,True,0.5,up,3.491243,305.9011,2.047224,-2.828013
148,1.029877,True,0.5,up,0.1652098,75.2672,0.04201476,0.1597781
149,0.666748,False,0.5,right,0.8239794,109.8167,-0.2793383,0.7751852
150,3.942535,True,0.5,down,0.5041032,10.06549,0.4963443,0.08810402
151,0.7779541,False,0.5,right,2.951361,149.1951,-2.534972,1.511439
152,0.7999268,True,0.5,down,3.870647,24.05851,3.534403,1.577945
153,2.110382,True,0.5,down,2.618549,198.357,-2.485299,-0.8246765
154,1.234833,True,0.5,up,1.858341,321.8216,1.460823,-1.148664
155,2.323029,False,0.5,left,0.1425877,280.7001,0.02647393,-0.1401084
156,0.7678833,False,0.5,left,3.809222,64.32701,1.650286,3.433181
157,1.301361,False,0.5,left,1.107362,141.2021,-0.8630338,0.693846
158,0.599823,True,0.5,up,1.600647,39.58584,1.233572,1.019986
159,1.440948,False,0.5,left,0.9915395,226.9394,-0.6769947,-0.7244506
160,1.455933,True,0.5,down,1.016078,35.47056,0.8275077,0.5896143
161,0.8681946,True,0.5,up,1.966908,145.2725,-1.616544,1.120497
162,1.52179,False,0.5,right,2.709142,173.4791,-2.691615,0.3076641
163,2.422119,True,0.5,down,3.395091,170.8449,-3.351842,0.5401854
